source,country,club_slug,method,dest_logo,dest_badge,size,sha256,converted_svg_to_png
CHI_EVE.png,chile,everton-de-vina-del-mar,CHI_EVE,assets/clubs/chile/everton-de-vina-del-mar/logo.png,assets/clubs/chile/everton-de-vina-del-mar/badge.png,28374,c3fe80006bf088353ac21dcd1e97bdc43fc48df8c6b661bd9a27b9eb66235641,False
URU_BOS.png,uruguay,boston-river,URU_BOS,assets/clubs/uruguay/boston-river/logo.png,assets/clubs/uruguay/boston-river/badge.png,5514,d1bb12c094b3cdb7d1b88e95a0e07c8a909da7943f9e55ba93b9e4dc90ff93e6,False
ARG_SAR.png,argentina,sarmiento,ARG_SAR,assets/clubs/argentina/sarmiento/logo.png,assets/clubs/argentina/sarmiento/badge.png,23937,5371f05658256242b0a8aca0f1f73f9c42395eb0c0a108b15dd6c037a96dcf57,False
ENG_WHU.png,england,west-ham-united,ENG_WHU,assets/clubs/england/west-ham-united/logo.png,assets/clubs/england/west-ham-united/badge.png,39668,71ee7eddb8d7f25e90884a1f4052120d1045cd46747a5f1f87fcbd19060d77b8,False
COL_TOL.png,colombia,deportes-tolima,COL_TOL,assets/clubs/colombia/deportes-tolima/logo.png,assets/clubs/colombia/deportes-tolima/badge.png,18201,ddc725cfe7b8b41a43ac131f80ee1da790348aaac05e27cf712bb1a09bf5c292,False
COL_DIM.png,colombia,independiente-medellin,COL_DIM,assets/clubs/colombia/independiente-medellin/logo.png,assets/clubs/colombia/independiente-medellin/badge.png,35055,858693b45a7adcff8065939c51391973fffdbab44848884653a3b8339f5382f9,False
germany_koln_512x512.football-logos.cc.png,germany,koln,football-logos.cc filename,assets/clubs/germany/koln/logo.png,assets/clubs/germany/koln/badge.png,49116,08bed4be547df7a0a62c6ac013054eebf7562ba213c6737501261a7c314c0aef,False
ESP_SEV.png,spain,sevilla,ESP_SEV,assets/clubs/spain/sevilla/logo.png,assets/clubs/spain/sevilla/badge.png,40069,19dcd014ddde34c15a0c9d527bc4b76d6eb1ef6318f3ca17074132472df13b4b,False
italy_frosinone_512x512.football-logos.cc.png,italy,frosinone,football-logos.cc filename,assets/clubs/italy/frosinone/logo.png,assets/clubs/italy/frosinone/badge.png,31337,38f060a311e2f13ba1969b986d742fb6bcab9153c8942c6422ecb03c0b50be8b,False
COL_ENV.png,colombia,envigado,COL_ENV,assets/clubs/colombia/envigado/logo.png,assets/clubs/colombia/envigado/badge.png,40206,45cfd2774c1092fcb729484014202032a174bba647dd11a51642150a382d664f,False
COL_MIL.png,colombia,millonarios,COL_MIL,assets/clubs/colombia/millonarios/logo.png,assets/clubs/colombia/millonarios/badge.png,30988,85bc4aeac4b060ed7c948e70a9967a876807d57a8f30b30b15742ea45fc66b6e,False
ARG_BOC.png,argentina,boca-juniors,ARG_BOC,assets/clubs/argentina/boca-juniors/logo.png,assets/clubs/argentina/boca-juniors/badge.png,43805,9caefb16dedac16b7085e42cc4f1561ffd955b51dadb0559b5261e9b596c3b51,False
guarani.svg,brazil,guarani,named-file,assets/clubs/brazil/guarani/logo.png,assets/clubs/brazil/guarani/badge.png,682,82a3ad56da18e3b21f29ef3cb202085132cf2209b746f1eab9ced8621a955b89,True
CHI_UCA.png,chile,universidad-catolica,CHI_UCA,assets/clubs/chile/universidad-catolica/logo.png,assets/clubs/chile/universidad-catolica/badge.png,9591,2582a007825477809a1230134320a24a7468e57088bf13031e52d8a0fade0ef0,False
FRA_NAN.png,france,nantes,FRA_NAN,assets/clubs/france/nantes/logo.png,assets/clubs/france/nantes/badge.png,14963,0ebc29bf292117452332003f722acba0fa2caf577f85afc888d864e2609379ea,False
ARG_CCO.png,argentina,central-cordoba,ARG_CCO,assets/clubs/argentina/central-cordoba/logo.png,assets/clubs/argentina/central-cordoba/badge.png,24095,489ca8e06edcd3b5af99aa97a8601d0918c1243306919fc7faccbc3dc3a4c74d,False
ESP_ESP.png,spain,espanyol,ESP_ESP,assets/clubs/spain/espanyol/logo.png,assets/clubs/spain/espanyol/badge.png,26838,e6ba302e8212aaf71f77e14dd656e74ba50be6a823a9dfc490c25b845a9a4d69,False
VNO.png,brazil,vila-nova,BRA_VNO,assets/clubs/brazil/vila-nova/logo.png,assets/clubs/brazil/vila-nova/badge.png,186747,fb83306e92dc90ef21dfaec8febaaa59cf6ee49f153111433ca4320cae90f1b7,False
ENG_BHA.png,england,brighton,ENG_BHA,assets/clubs/england/brighton/logo.png,assets/clubs/england/brighton/badge.png,28327,be3c6d8ea7ac1a725e483c3353fc6257e8e06a3d0756b1b026796048f3b1b151,False
ARG_INS.png,argentina,instituto,ARG_INS,assets/clubs/argentina/instituto/logo.png,assets/clubs/argentina/instituto/badge.png,30105,959864e659f717606cb0c96335ddc4d46cac166f8671ed0e3b79884c52d0690e,False
ARG_ATU.png,argentina,atletico-tucuman,ARG_ATU,assets/clubs/argentina/atletico-tucuman/logo.png,assets/clubs/argentina/atletico-tucuman/badge.png,15608,250c6c168d4b5d2e3255a65fea7c7d0d060ed19771382c2cadd979edd8ac5502,False
ITA_FIO.png,italy,fiorentina,ITA_FIO,assets/clubs/italy/fiorentina/logo.png,assets/clubs/italy/fiorentina/badge.png,20151,f242b06e4e12c5b50978679cd112841477b66c564d51cdc6244011fc3ecbda68,False
csa.svg,brazil,csa,named-file,assets/clubs/brazil/csa/logo.png,assets/clubs/brazil/csa/badge.png,682,968cf7254d1fb44be430c2ae5dabf5ab11d9eaf538ee074c9ec99614b21b99a3,True
ECU_UCA.png,ecuador,universidad-catolica-ecuador,ECU_UCA,assets/clubs/ecuador/universidad-catolica-ecuador/logo.png,assets/clubs/ecuador/universidad-catolica-ecuador/badge.png,20661,48e5238a833e955ce76df1212ac8fc5bf0f17ddad135a96fcdc548e32894edd5,False
URU_DAN.png,uruguay,danubio,URU_DAN,assets/clubs/uruguay/danubio/logo.png,assets/clubs/uruguay/danubio/badge.png,11832,a77a12ab5523840a137f3f6c47f6a967a2a17845aae719a26b64fa82c41390e8,False
ENG_EVE.png,england,everton,ENG_EVE,assets/clubs/england/everton/logo.png,assets/clubs/england/everton/badge.png,47648,4ee6f2f9ea10b30f177766b95662281a25c3cbecdb1ac13c8afa86f849fc890f,False
URU_LAR.png,uruguay,la-luz,URU_LAR,assets/clubs/uruguay/la-luz/logo.png,assets/clubs/uruguay/la-luz/badge.png,54527,81075691ac249c7ae1cc1d0f2aec9e62fdf07fba0317491062974b61f1062b48,False
GER_LEV.png,germany,bayer-leverkusen,GER_LEV,assets/clubs/germany/bayer-leverkusen/logo.png,assets/clubs/germany/bayer-leverkusen/badge.png,72433,63248dfb9d99a9ebe44432ad0d0968b9d8c37153f802f504890984beb3603561,False
uruguay_defensor-sporting_512x512.football-logos.cc.png,uruguay,defensor-sporting,football-logos.cc filename,assets/clubs/uruguay/defensor-sporting/logo.png,assets/clubs/uruguay/defensor-sporting/badge.png,17918,163ca92de875567292676d703fa45d4173654bec27d7714cad8a23e7b910def1,False
ITA_ATA.png,italy,atalanta,ITA_ATA,assets/clubs/italy/atalanta/logo.png,assets/clubs/italy/atalanta/badge.png,27192,4005cbb19eb53e4ac96198d4974e54d61d0b3961bc5216bb49abae982ece01c2,False
CRB.png,brazil,crb,BRA_CRB,assets/clubs/brazil/crb/logo.png,assets/clubs/brazil/crb/badge.png,49847,f78ec83e102c07540637928f72fa13f3c315c35d9d618c37c62cc70e71864a76,False
CHI_OHI.png,chile,ohiggins,CHI_OHI,assets/clubs/chile/ohiggins/logo.png,assets/clubs/chile/ohiggins/badge.png,13276,34a016262c27aed794d162e72d6b73ee0d1675518a673b3c96083fd3f23afe60,False
GER_BAY.png,germany,bayern-munich,GER_BAY,assets/clubs/germany/bayern-munich/logo.png,assets/clubs/germany/bayern-munich/badge.png,43798,bc62933e906ae5f57431b0a7b914d7108e0de829bc4f11aa042b3faddd42a9a2,False
ARG_NEW.png,argentina,newells-old-boys,ARG_NEW,assets/clubs/argentina/newells-old-boys/logo.png,assets/clubs/argentina/newells-old-boys/badge.png,18270,31b045708c0489eb02599632dc8e00eecbe67b5efaaf7b4334693d6a7d16a60c,False
COL_JUN.png,colombia,junior,COL_JUN,assets/clubs/colombia/junior/logo.png,assets/clubs/colombia/junior/badge.png,17276,e1605804ed041f79eef8931ff4a99a53bbcca27b9c2f7fe14320f1fb2e4e5278,False
ACG.png,brazil,atletico-go,BRA_ACG,assets/clubs/brazil/atletico-go/logo.png,assets/clubs/brazil/atletico-go/badge.png,134037,af05c610779be7a352acf91fb78582cd115a0dfe0060715578e2189dde6b8465,False
ENG_BOU.png,england,bournemouth,ENG_BOU,assets/clubs/england/bournemouth/logo.png,assets/clubs/england/bournemouth/badge.png,26301,3bc71a08ae9b5aae9c8d9ed3eb9b96167345e1d74933069371300ea4a2c1a2a1,False
germany_freiburg_512x512.football-logos.cc.png,germany,freiburg,football-logos.cc filename,assets/clubs/germany/freiburg/logo.png,assets/clubs/germany/freiburg/badge.png,32014,ca94875ccf04c35708afe1f15abef126a9d350c4264cf4a42a8bb9cdf383ca34,False
ARG_BAR.png,argentina,barracas-central,ARG_BAR,assets/clubs/argentina/barracas-central/logo.png,assets/clubs/argentina/barracas-central/badge.png,15501,2db9d67b89a8d4e71b2cf7b3af60cfde3ec596da456125aa280de2e1827a6a32,False
CHI_UCH.png,chile,universidad-de-chile,CHI_UCH,assets/clubs/chile/universidad-de-chile/logo.png,assets/clubs/chile/universidad-de-chile/badge.png,25263,465e8b6323b488694a04abc61da292defb2378cf5a69787d783e5003bc3b34b0,False
